zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
H,H,3354,208,349,3331,240,751,580,922,1086,541,557,251,380,1048,208,192,488,795,71,376,241,407,28,4,38,168,250,44,283,230
H,B,208,208,14,207,20,53,63,61,85,3,9,30,11,95,6,4,17,20,0,4,0,2,0,0,0,6,5,0,1,11
H,C,349,14,349,335,18,71,61,55,49,22,36,23,15,113,2,6,19,23,14,39,18,4,0,0,0,16,29,0,41,62
H,O,3331,207,335,3331,237,751,580,922,1084,541,557,246,380,1048,208,191,488,795,70,375,241,407,28,4,38,168,249,43,283,230
H,F,240,20,18,237,240,104,46,110,126,47,28,15,42,100,50,6,41,49,0,6,3,3,0,1,1,33,8,0,10,39
H,Na,751,53,71,751,104,751,145,249,438,100,110,57,178,299,107,29,125,173,2,20,15,43,2,0,7,64,5,1,35,54
H,Mg,580,63,61,580,46,145,580,220,227,100,68,35,73,177,24,29,92,160,10,22,37,52,1,0,2,24,10,1,26,17
H,Al,922,61,55,922,110,249,220,922,480,183,152,40,143,347,28,38,104,215,11,47,40,50,4,0,6,55,32,1,23,61
H,Si,1086,85,49,1084,126,438,227,480,1086,18,43,61,227,502,149,31,237,280,8,31,37,19,1,0,3,97,34,1,21,111
H,P,541,3,22,541,47,100,100,183,18,541,27,4,40,154,12,18,114,196,2,43,46,12,0,0,0,36,31,11,52,28
H,S,557,9,36,557,28,110,68,152,43,27,557,36,71,99,3,12,28,134,21,96,58,23,4,1,10,6,58,4,62,13
H,Cl,251,30,23,246,15,57,35,40,61,4,36,251,36,80,8,4,32,48,6,66,12,20,3,3,3,12,45,2,2,5
H,K,380,11,15,380,42,178,73,143,227,40,71,36,380,144,58,16,52,100,1,17,11,14,1,1,3,41,6,1,29,10
H,Ca,1048,95,113,1048,100,299,177,347,502,154,99,80,144,1048,59,60,165,228,4,57,35,114,3,0,6,47,23,2,61,101
H,Ti,208,6,2,208,50,107,24,28,149,12,3,8,58,59,208,10,52,82,0,2,17,6,0,0,4,47,3,0,10,38
H,V,192,4,6,191,6,29,29,38,31,18,12,4,16,60,10,192,27,29,3,13,7,13,0,0,1,13,15,5,21,8
H,Mn,488,17,19,488,41,125,92,104,237,114,28,32,52,165,52,27,488,154,3,7,42,70,0,0,3,35,20,0,6,28
H,Fe,795,20,23,795,49,173,160,215,280,196,134,48,100,228,82,29,154,795,10,33,62,100,1,1,8,47,46,11,20,49
H,Ni,71,0,14,70,0,2,10,11,8,2,21,6,1,4,0,3,3,10,71,8,3,11,1,0,2,0,1,1,4,0
H,Cu,376,4,39,375,6,20,22,47,31,43,96,66,17,57,2,13,7,33,8,376,41,97,13,2,7,2,63,8,18,11
H,Zn,241,0,18,241,3,15,37,40,37,46,58,12,11,35,17,7,42,62,3,41,241,59,0,1,5,2,29,0,6,4
H,As,407,2,4,407,3,43,52,50,19,12,23,20,14,114,6,13,70,100,11,97,59,407,0,0,14,9,49,14,36,14
H,Se,28,0,0,28,0,2,1,4,1,0,4,3,1,3,0,0,0,1,1,13,0,0,28,0,0,1,10,1,8,0
H,Ag,4,0,0,4,1,0,0,0,0,0,1,3,1,0,0,0,0,1,0,2,1,0,0,4,0,0,3,0,0,0
H,Sb,38,0,0,38,1,7,2,6,3,0,10,3,3,6,4,1,3,8,2,7,5,14,0,0,38,0,4,0,0,0
H,Ba,168,6,16,168,33,64,24,55,97,36,6,12,41,47,47,13,35,47,0,2,2,9,1,0,0,168,4,0,15,18
H,Pb,250,5,29,249,8,5,10,32,34,31,58,45,6,23,3,15,20,46,1,63,29,49,10,3,4,4,250,5,33,6
H,Bi,44,0,0,43,0,1,1,1,1,11,4,2,1,2,0,5,0,11,1,8,0,14,1,0,0,0,5,44,7,0
H,U,283,1,41,283,10,35,26,23,21,52,62,2,29,61,10,21,6,20,4,18,6,36,8,0,0,15,33,7,283,19
H,REE,230,11,62,230,39,54,17,61,111,28,13,5,10,101,38,8,28,49,0,11,4,14,0,0,0,18,6,0,19,230
B,H,208,208,14,207,20,53,63,61,85,3,9,30,11,95,6,4,17,20,0,4,0,2,0,0,0,6,5,0,1,11
B,B,208,303,14,297,38,67,100,88,129,7,9,39,22,122,13,6,33,52,1,6,1,8,0,0,3,15,8,0,1,26
B,C,14,14,14,14,1,1,7,2,4,0,0,3,0,8,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1
B,O,207,297,14,297,34,65,100,88,128,7,9,39,20,122,12,6,33,52,1,6,1,8,0,0,3,15,8,0,1,26
B,F,20,38,1,34,38,14,11,11,26,5,2,3,6,17,2,2,4,8,0,0,0,5,0,0,0,6,4,0,0,12
B,Na,53,67,1,65,14,67,16,24,44,1,3,4,7,16,4,3,7,12,0,0,0,2,0,0,0,4,0,0,0,5
B,Mg,63,100,7,100,11,16,100,33,36,3,1,13,4,24,5,5,11,26,0,0,0,4,0,0,3,2,2,0,0,1
B,Al,61,88,2,88,11,24,33,88,69,0,3,5,7,29,4,1,8,26,0,0,0,2,0,0,1,0,0,0,1,7
B,Si,85,129,4,128,26,44,36,69,129,3,3,9,11,52,10,4,16,31,0,0,0,3,0,0,0,15,5,0,1,23
B,P,3,7,0,7,5,1,3,0,3,7,0,0,0,3,1,2,3,2,0,0,0,2,0,0,0,1,0,0,0,3
B,S,9,9,0,9,2,3,1,3,3,0,9,2,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
B,Cl,30,39,3,39,3,4,13,5,9,0,2,39,5,19,3,1,4,6,0,1,1,0,0,0,0,4,4,0,0,1
B,K,11,22,0,20,6,7,4,7,11,0,1,5,22,7,1,0,1,0,0,0,1,0,0,0,0,4,3,0,0,2
B,Ca,95,122,8,122,17,16,24,29,52,3,8,19,7,122,3,0,10,18,0,2,0,5,0,0,0,7,3,0,1,19
B,Ti,6,13,0,12,2,4,5,4,10,1,0,3,1,3,13,1,1,5,0,0,0,0,0,0,0,6,0,0,0,2
B,V,4,6,0,6,2,3,5,1,4,2,0,1,0,0,1,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0
B,Mn,17,33,1,33,4,7,11,8,16,3,0,4,1,10,1,0,33,8,0,0,0,0,0,0,3,1,1,0,0,4
B,Fe,20,52,0,52,8,12,26,26,31,2,2,6,0,18,5,0,8,52,1,1,0,2,0,0,2,2,0,0,0,8
B,Ni,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
B,Cu,4,6,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0
B,Zn,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B,As,2,8,0,8,5,2,4,2,3,2,0,0,0,5,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0,3
B,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Sb,0,3,0,3,0,0,3,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0
B,Ba,6,15,0,15,6,4,2,0,15,1,0,4,4,7,6,1,1,2,0,0,0,0,0,0,0,15,3,0,0,4
B,Pb,5,8,3,8,4,0,2,0,5,0,0,4,3,3,0,0,1,0,0,0,0,0,0,0,0,3,8,0,0,2
B,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,U,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B,REE,11,26,1,26,12,5,1,7,23,3,0,1,2,19,2,0,4,8,0,0,0,3,0,0,0,4,2,0,0,26
C,H,349,14,349,335,18,71,61,55,49,22,36,23,15,113,2,6,19,23,14,39,18,4,0,0,0,16,29,0,41,62
C,B,14,14,14,14,1,1,7,2,4,0,0,3,0,8,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1
C,C,349,14,481,451,47,116,73,61,68,29,47,33,23,163,6,7,28,36,17,43,20,4,0,0,0,38,36,3,44,100
C,O,335,14,451,451,47,116,73,61,67,29,47,33,23,163,5,6,28,30,14,43,20,4,0,0,0,38,36,3,44,100
C,F,18,1,47,47,47,18,3,5,7,6,3,2,2,23,1,1,3,1,0,0,0,0,0,0,0,15,1,1,2,28
C,Na,71,1,116,116,18,116,11,19,25,14,17,10,12,46,4,1,11,7,1,6,0,1,0,0,0,14,2,0,7,35
C,Mg,61,7,73,73,3,11,73,11,6,10,8,6,3,21,0,1,6,11,1,4,3,0,0,0,0,3,5,0,8,2
C,Al,55,2,61,61,5,19,11,61,21,7,12,7,5,22,0,1,2,3,1,1,1,0,0,0,0,7,4,0,1,5
C,Si,49,4,68,67,7,25,6,21,68,6,11,8,7,38,4,2,6,10,0,2,0,0,0,0,0,8,8,0,2,16
C,P,22,0,29,29,6,14,10,7,6,29,2,1,2,11,0,2,3,2,0,1,1,0,0,0,0,5,0,0,0,5
C,S,36,0,47,47,3,17,8,12,11,2,47,6,4,14,0,0,7,4,1,5,4,1,0,0,0,1,8,0,2,6
C,Cl,23,3,33,33,2,10,6,7,8,1,6,33,3,12,0,0,3,1,0,6,0,0,0,0,0,3,7,0,0,3
C,K,15,0,23,23,2,12,3,5,7,2,4,3,23,14,0,1,0,1,0,1,0,0,0,0,0,1,0,0,4,2
C,Ca,113,8,163,163,23,46,21,22,38,11,14,12,14,163,0,4,10,6,0,7,4,2,0,0,0,18,3,2,25,35
C,Ti,2,0,6,5,1,4,0,0,4,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3
C,V,6,0,7,6,1,1,1,1,2,2,0,0,1,4,1,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0
C,Mn,19,1,28,28,3,11,6,2,6,3,7,3,0,10,0,1,28,2,0,0,2,2,0,0,0,0,2,0,0,5
C,Fe,23,0,36,30,1,7,11,3,10,2,4,1,1,6,2,1,2,36,3,0,2,0,0,0,0,3,2,0,0,3
C,Ni,14,0,17,14,0,1,1,1,0,0,1,0,0,0,0,0,0,3,17,1,0,0,0,0,0,0,0,0,0,0
C,Cu,39,1,43,43,0,6,4,1,2,1,5,6,1,7,0,0,0,0,1,43,4,2,0,0,0,0,5,0,4,4
