zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
H,H,3267,195,339,3243,147,654,478,829,1036,530,538,212,291,930,148,182,414,665,64,360,212,398,28,3,32,136,233,42,272,198
H,B,195,195,13,194,10,51,56,53,75,3,8,24,9,90,4,3,15,18,0,4,0,2,0,0,0,4,5,0,0,7
H,C,339,13,339,325,12,67,55,50,46,17,30,19,11,100,2,6,17,22,12,36,16,4,0,0,0,14,29,0,41,60
H,O,3243,194,325,3243,144,654,478,829,1034,530,538,206,291,930,148,181,414,665,63,359,212,398,28,3,32,136,232,41,272,198
H,F,147,10,12,144,147,57,23,82,62,32,24,8,15,62,20,2,16,17,0,6,1,3,0,0,0,16,6,0,8,18
H,Na,654,51,67,654,57,654,109,188,361,90,103,38,83,190,83,28,83,128,2,16,11,37,2,0,4,44,3,1,33,41
H,Mg,478,56,55,478,23,109,478,151,166,86,61,28,50,132,12,24,44,78,2,16,16,40,1,0,2,11,7,1,24,16
H,Al,829,53,50,829,82,188,151,829,410,171,136,33,82,273,10,31,74,138,6,39,23,43,4,0,5,34,27,1,21,60
H,Si,1036,75,46,1034,62,361,166,410,1036,15,36,35,162,431,118,28,189,215,7,29,32,17,1,0,2,76,33,1,20,101
H,P,530,3,17,530,32,90,86,171,15,530,21,1,34,135,10,14,101,179,2,40,45,9,0,0,0,32,27,11,51,24
H,S,538,8,30,538,24,103,61,136,36,21,538,29,55,85,2,12,24,122,15,88,48,21,4,1,10,5,55,4,61,12
H,Cl,212,24,19,206,8,38,28,33,35,1,29,212,25,53,2,3,17,31,5,61,9,14,3,2,3,9,40,1,2,3
H,K,291,9,11,291,15,83,50,82,162,34,55,25,291,76,31,10,29,72,1,16,7,12,1,1,2,8,3,0,27,4
H,Ca,930,90,100,930,62,190,132,273,431,135,85,53,76,930,33,55,111,173,4,50,31,112,3,0,5,19,13,1,54,75
H,Ti,148,4,2,148,20,83,12,10,118,10,2,2,31,33,148,4,23,36,0,2,8,5,0,0,2,36,1,0,2,17
H,V,182,3,6,181,2,28,24,31,28,14,12,3,10,55,4,182,22,16,2,11,5,10,0,0,0,11,14,5,16,4
H,Mn,414,15,17,414,16,83,44,74,189,101,24,17,29,111,23,22,414,80,2,7,31,66,0,0,2,21,19,0,4,19
H,Fe,665,18,22,665,17,128,78,138,215,179,122,31,72,173,36,16,80,665,6,22,40,86,1,1,6,32,36,7,13,35
H,Ni,64,0,12,63,0,2,2,6,7,2,15,5,1,4,0,2,2,6,64,4,1,11,1,0,2,0,1,1,4,0
H,Cu,360,4,36,359,6,16,16,39,29,40,88,61,16,50,2,11,7,22,4,360,25,94,13,2,5,1,60,8,18,11
H,Zn,212,0,16,212,1,11,16,23,32,45,48,9,7,31,8,5,31,40,1,25,212,54,0,1,3,2,26,0,4,1
