zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
H,H,1.0,0.06201550387596899,0.10405485986881335,0.9931425163983304,0.07155635062611806,0.22391174716756113,0.172927847346452,0.27489564698867025,0.32379248658318427,0.16129994036970782,0.16607036374478235,0.07483601669648181,0.11329755515802027,0.3124627310673822,0.06201550387596899,0.057245080500894455,0.1454979129397734,0.2370304114490161,0.021168753726893263,0.11210494931425163,0.07185450208706022,0.12134764460345855,0.008348240906380441,0.0011926058437686344,0.011329755515802028,0.05008944543828265,0.07453786523553965,0.01311866428145498,0.0843768634466309,0.06857483601669648
H,B,0.06201550387596899,0.06201550387596899,0.0041741204531902205,0.061717352415026835,0.005963029218843173,0.015802027429934407,0.018783542039355994,0.018187239117471676,0.02534287418008348,0.0008944543828264759,0.0026833631484794273,0.008944543828264758,0.003279666070363745,0.028324388789505068,0.0017889087656529517,0.0011926058437686344,0.005068574836016696,0.005963029218843173,0.0,0.0011926058437686344,0.0,0.0005963029218843172,0.0,0.0,0.0,0.0017889087656529517,0.0014907573047107932,0.0,0.0002981514609421586,0.003279666070363745
H,C,0.10405485986881335,0.0041741204531902205,0.10405485986881335,0.09988073941562314,0.005366726296958855,0.021168753726893263,0.018187239117471676,0.016398330351818723,0.014609421586165773,0.00655933214072749,0.01073345259391771,0.006857483601669648,0.004472271914132379,0.03369111508646393,0.0005963029218843172,0.0017889087656529517,0.005664877757901014,0.006857483601669648,0.0041741204531902205,0.011627906976744186,0.005366726296958855,0.0011926058437686344,0.0,0.0,0.0,0.004770423375074538,0.0086463923673226,0.0,0.012224209898628503,0.018485390578413835
H,O,0.9931425163983304,0.061717352415026835,0.09988073941562314,0.9931425163983304,0.0706618962432916,0.22391174716756113,0.172927847346452,0.27489564698867025,0.32319618366129993,0.16129994036970782,0.16607036374478235,0.07334525939177101,0.11329755515802027,0.3124627310673822,0.06201550387596899,0.0569469290399523,0.1454979129397734,0.2370304114490161,0.020870602265951103,0.11180679785330948,0.07185450208706022,0.12134764460345855,0.008348240906380441,0.0011926058437686344,0.011329755515802028,0.05008944543828265,0.0742397137745975,0.01282051282051282,0.0843768634466309,0.06857483601669648
H,F,0.07155635062611806,0.005963029218843173,0.005366726296958855,0.0706618962432916,0.07155635062611806,0.031007751937984496,0.013714967203339297,0.032796660703637445,0.03756708407871199,0.014013118664281454,0.008348240906380441,0.004472271914132379,0.012522361359570662,0.02981514609421586,0.01490757304710793,0.0017889087656529517,0.012224209898628503,0.014609421586165773,0.0,0.0017889087656529517,0.0008944543828264759,0.0008944543828264759,0.0,0.0002981514609421586,0.0002981514609421586,0.009838998211091235,0.002385211687537269,0.0,0.0029815146094215863,0.011627906976744186
H,Na,0.22391174716756113,0.015802027429934407,0.021168753726893263,0.22391174716756113,0.031007751937984496,0.22391174716756113,0.043231961836613,0.0742397137745975,0.13059033989266547,0.02981514609421586,0.032796660703637445,0.01699463327370304,0.05307096004770424,0.08914728682170543,0.03190220632081097,0.0086463923673226,0.037268932617769826,0.05158020274299344,0.0005963029218843172,0.005963029218843173,0.004472271914132379,0.01282051282051282,0.0005963029218843172,0.0,0.0020870602265951103,0.01908169350029815,0.0014907573047107932,0.0002981514609421586,0.010435301132975552,0.016100178890876567
H,Mg,0.172927847346452,0.018783542039355994,0.018187239117471676,0.172927847346452,0.013714967203339297,0.043231961836613,0.172927847346452,0.06559332140727489,0.06768038163387001,0.02981514609421586,0.020274299344066785,0.010435301132975552,0.021765056648777578,0.052772808586762074,0.007155635062611807,0.0086463923673226,0.027429934406678593,0.04770423375074538,0.0029815146094215863,0.00655933214072749,0.011031604054859869,0.015503875968992248,0.0002981514609421586,0.0,0.0005963029218843172,0.007155635062611807,0.0029815146094215863,0.0002981514609421586,0.007751937984496124,0.005068574836016696
H,Al,0.27489564698867025,0.018187239117471676,0.016398330351818723,0.27489564698867025,0.032796660703637445,0.0742397137745975,0.06559332140727489,0.27489564698867025,0.14311270125223613,0.05456171735241502,0.04531902206320811,0.011926058437686345,0.04263565891472868,0.10345855694692904,0.008348240906380441,0.011329755515802028,0.031007751937984496,0.0641025641025641,0.003279666070363745,0.014013118664281454,0.011926058437686345,0.01490757304710793,0.0011926058437686344,0.0,0.0017889087656529517,0.016398330351818723,0.009540846750149075,0.0002981514609421586,0.006857483601669648,0.018187239117471676
H,Si,0.32379248658318427,0.02534287418008348,0.014609421586165773,0.32319618366129993,0.03756708407871199,0.13059033989266547,0.06768038163387001,0.14311270125223613,0.32379248658318427,0.005366726296958855,0.01282051282051282,0.018187239117471676,0.06768038163387001,0.14967203339296362,0.04442456768038163,0.009242695289206918,0.0706618962432916,0.08348240906380441,0.002385211687537269,0.009242695289206918,0.011031604054859869,0.005664877757901014,0.0002981514609421586,0.0,0.0008944543828264759,0.028920691711389387,0.010137149672033392,0.0002981514609421586,0.006261180679785331,0.03309481216457961
H,P,0.16129994036970782,0.0008944543828264759,0.00655933214072749,0.16129994036970782,0.014013118664281454,0.02981514609421586,0.02981514609421586,0.05456171735241502,0.005366726296958855,0.16129994036970782,0.008050089445438283,0.0011926058437686344,0.011926058437686345,0.045915324985092425,0.0035778175313059034,0.005366726296958855,0.03398926654740608,0.05843768634466309,0.0005963029218843172,0.01282051282051282,0.013714967203339297,0.0035778175313059034,0.0,0.0,0.0,0.01073345259391771,0.009242695289206918,0.003279666070363745,0.015503875968992248,0.008348240906380441
